State,Year,taxRate,incentive,evregister,totalregister,avgIncome,popDensity
Maine,2019,30,1,1300,373868.4929,70523,
Maryland,2019,37,1,13200,1868994.326,101283,
Massachusets,2019,24,1,14100,2088673.765,92949,
Michigan,2019,26,1,6600,2831498.954,67951,
Minnesota,2019,28.5,1,7700,1836830.578,86292,
Mississippi,2019,18,1,500,806061.4706,47463,
Missouri,2019,17,0,4900,2052788.04,64218,
Montana,2019,33,1,700,439118.4303,63792,
Nebraska,2019,30.6,0,1300,661863.6631,77437,
Nevada,2019,24,1,7900,1060188.428,75143,
New Hampshire,2019,24,1,1900,489223.8972,92093,
New Jersey,2019,37,1,20200,2639261.217,92969,
New Mexico,2019,17,1,1900,641837.8117,56287,
New York,2019,26,1,23000,4444391.274,76149,
North Carolina,2019,36,0,11600,3434565.139,64814,
North Dakota,2019,23,0,200,228880.8319,74216,
Ohio,2019,39,1,10200,4423248.256,68527,
Oklahoma,2019,20,0,3400,1255133.744,62946,
Oregon,2019,34,1,18800,1424799.489,78860,
Pennsylvania,2019,58,1,12000,4267810.878,74800,
Rhode Island,2019,35,1,1100,396508.4209,74344,
South Carolina,2019,22,1,3000,1801243.195,65735,
South Dakota,2019,30,1,300,342868.2219,68095,
Tennessee,2019,26,1,5700,2185228.653,60011,
Texas,2019,20,1,38400,8313622.805,71474,
Utah,2019,30,1,8000,921645.4737,89574,
Vermont,2019,30,1,1700,206621.3617,78746,
Virginia,2019,16,1,15000,3187026.086,86172,
Washington,2019,49.4,1,40400,2943913.858,87381,
West Virginia,2019,35.7,0,400,536646.4781,56916,
Wisconsin,2019,30.9,0,4700,2004001.552,71380,
Wyoming,2019,24,1,200,196219.0472,69027,
Alabama,2020,26,1,"2,890",2035376,57243,
Alaska,2020,8,1,940,171144,78236,
Arizona,2020,18,1,"28,770",2410018,70220,
Arkansas,2020,24.8,0,"1,330",872437,53148,
California,2020,51,1,"425,300",14201400,81278,
Colorado,2020,22,1,"24,670",1639028,87689,
Connecticut,2020,25,1,"9,040",1211171,83141,
Deleware,2020,23,1,"1,950",415915,73292,
District of Columbia,2020,24,1,"2,360",210297,92337,
Florida,2020,38,1,"58,160",7841553,60460,
Georgia,2020,28,1,"23,530",3495421,62033,
Hawaii,2020,16,1,"10,670",474979,84600,
Idaho,2020,33,1,"2,300",588362,69841,
Illinois,2020,40,1,"26,000",4161655,77805,
Indiana,2020,32,1,"6,990",2123748,69925,
Iowa,2020,31,1,"2,260",1163751,72030,
Kansas,2020,24,0,"3,130",889083,76495,
Kentucky,2020,25,0,"2,650",1644497,59405,
Lousiana,2020,20,1,"1,950",1315691,53576,
Maine,2020,30,1,"1,920",356079,66667,
Maryland,2020,36,1,"17,970",1823553,99215,
Massachusets,2020,24,1,"21,010",2003373,91912,
Michigan,2020,26,1,"10,620",2691704,67399,
Minnesota,2020,28.5,1,"10,380",1841690,82431,
Mississippi,2020,18,1,780,788425,47242,
Missouri,2020,17,0,"6,740",1991376,65081,
Montana,2020,33,1,940,459081,59390,
Nebraska,2020,34.1,0,"1,810",624907,75622,
Nevada,2020,24,1,"11,040",1027503,64020,
New Hampshire,2020,24,1,"2,690",460825,93045,
New Jersey,2020,37,1,"30,420",2541125,89543,
New Mexico,2020,17,1,"2,620",623955,53283,
New York,2020,25,1,"32,590",4232748,71865,
North Carolina,2020,36,1,"16,190",3398470,63252,
North Dakota,2020,23,0,220,215654,67109,
Ohio,2020,39,1,"14,530",4247843,63198,
Oklahoma,2020,20,0,"3,410",1223848,54921,
Oregon,2020,36,1,"22,850",1440848,80443,
Pennsylvania,2020,58,1,"17,530",4043715,74094,
Rhode Island,2020,35,1,"1,580",381767,83918,
South Carolina,2020,24,1,"4,390",1767348,63159,
South Dakota,2020,30,1,410,325001,73467,
Tennessee,2020,26,1,"7,810",2115632,57542,
Texas,2020,20,1,"52,190",8088058,71599,
Utah,2020,30,1,"11,230",902723,87915,
Vermont,2020,30,1,"2,230",193407,70398,
Virginia,2020,16,1,"20,510",3057254,86053,
Washington,2020,49.4,1,"50,520",2800370,85157,
West Virginia,2020,35.7,1,600,508663,54396,
Wisconsin,2020,30.9,1,"6,310",1901497,70553,
Wyoming,2020,24,1,330,191332,68506,
